age,employment_years,annual_income,monthly_income,savings_balance,total_assets,total_liabilities,credit_cards,existing_loans,monthly_payment,loan_amount,loan_term,dependents,marital_status,education,employment_status,home_ownership,loan_purpose,previous_default,debt_to_income,new_loan_payment_ratio,new_loan_payment_ratio_binned,ratio_times_debt,risk_score,loan_approved
37,4,200000,16666.666666666668,1424,133471,29824,2,4844,500,12958.459096161389,12,1,married,master,self_employed,rent,other,no,0.029999999998199998,0.06479229548080694,0.0,0.001943768864307582,88.69602076571242,0
18,2,200000,16666.666666666668,3430,215402,38552,2,16851,500,12507.021198158573,24,0,single,bachelor,employed,own,home,no,0.029999999998199998,0.03126755299539643,0.0,0.0009380265898056113,89.41594514806653,1
18,2,200000,16666.666666666668,5711,86677,16857,3,12451,500,62457.35064499013,24,0,single,phd,employed,other,education,no,0.029999999998199998,0.15614337661247532,1.0,0.004684301298093201,83.81599963006758,0
29,5,200000,16666.666666666668,3200,103827,122851,2,7997,500,10000.0,3,1,married,master,self_employed,rent,car,no,0.029999999998199998,0.19999999999999998,1.0,0.005999999999639999,78.69234095261383,0
24,8,200000,16666.666666666668,1102,50000,83301,1,19851,500,99614.67819187535,24,2,divorced,bachelor,employed,mortgage,business,no,0.029999999998199998,0.24903669547968837,1.0,0.007471100863942384,69.90073516941857,0
38,5,200000,16666.666666666668,4317,127750,80364,3,10928,500,18746.535109402765,24,0,married,master,unemployed,mortgage,debt_consolidation,no,0.029999999998199998,0.046866337773506905,0.0,0.0014059901331208477,89.12354479652795,0
25,6,200000,16666.666666666668,7533,74174,10000,5,9271,500,14509.11646000822,12,1,married,college,self_employed,rent,business,no,0.029999999998199998,0.07254558230004109,0.0,0.0021763674688706504,88.47466627523598,0
20,3,200000,16666.666666666668,3369,70689,10000,2,2777,546,43804.11404827805,6,3,divorced,bachelor,employed,rent,home,yes,0.032759999998034396,0.4380411404827804,1.0,0.014350227761354872,22.787667621338937,1
49,5,200000,16666.666666666668,2842,59276,10000,1,17588,500,22360.721427193923,6,1,single,college,employed,rent,business,no,0.029999999998199998,0.22360721427193922,1.0,0.006708216427755683,74.86938277966487,0
32,8,200000,16666.666666666668,1733,156206,33540,2,3191,500,19733.820133804864,36,1,widowed,college,employed,rent,business,no,0.029999999998199998,0.0328897002230081,0.0,0.0009866910066310415,89.38851176476518,1
35,4,200000,16666.666666666668,4044,182177,39473,4,8997,500,10000.0,3,1,married,master,retired,rent,home,no,0.029999999998199998,0.19999999999999998,1.0,0.005999999999639999,78.69234095261383,0
20,5,200000,16666.666666666668,2228,81452,15628,1,9742,500,10000.0,36,1,divorced,phd,employed,rent,car,no,0.029999999998199998,0.016666666666666666,0.0,0.0004999999999699999,89.63586424221606,0
29,1,200000,16666.666666666668,58277,58277,28328,2,5975,500,10000.0,12,0,divorced,master,employed,mortgage,education,no,0.029999999998199998,0.049999999999999996,0.0,0.0014999999999099998,89.05647095587534,0
36,5,200000,16666.666666666668,7370,83374,64389,2,4211,831,10000.0,6,1,married,master,self_employed,mortgage,home,no,0.049859999997008395,0.09999999999999999,0.0,0.004985999999700839,87.16941824350303,0
23,6,200000,16666.666666666668,3666,59047,64469,1,8765,500,14378.941022268897,12,1,divorced,college,retired,rent,home,no,0.029999999998199998,0.07189470511134448,0.0,0.0021568411532109236,88.49419177868253,1
38,3,200000,16666.666666666668,4364,134630,10000,1,11740,500,31013.693614151438,6,2,married,bachelor,self_employed,rent,debt_consolidation,no,0.029999999998199998,0.3101369361415144,1.0,0.009304108083687184,55.583871481931894,0
28,6,200000,16666.666666666668,2668,61738,17978,2,5403,500,11955.575304945816,36,2,single,college,retired,own,other,no,0.029999999998199998,0.019925958841576358,0.0,0.0005977787652114239,89.59073815607022,0
32,5,200000,16666.666666666668,4330,79028,10000,1,5738,500,11486.630017416343,36,1,divorced,high_school,self_employed,mortgage,debt_consolidation,yes,0.029999999998199998,0.01914438336236057,0.0,0.0005743315008363572,79.601755420354,1
28,5,200000,16666.666666666668,4799,50000,10000,0,4088,500,10000.0,3,1,single,college,employed,rent,car,no,0.029999999998199998,0.19999999999999998,1.0,0.005999999999639999,78.69234095261383,0
53,6,200000,16666.666666666668,1584,50000,26874,1,3037,1418,10000.0,36,2,married,bachelor,employed,own,debt_consolidation,no,0.0850799999948952,0.016666666666666666,0.0,0.00141799999991492,88.80966424226561,0
34,6,200000,16666.666666666668,2444,50000,10000,1,7400,592,12981.39438272949,3,0,married,college,self_employed,mortgage,car,no,0.0355199999978688,0.2596278876545898,1.0,0.00922198256893771,67.51779736489317,0
24,7,200000,16666.666666666668,3853,50000,10000,1,5214,500,11294.532249601667,12,1,married,college,retired,rent,business,no,0.029999999998199998,0.056472661248008336,0.0,0.0016941798373385991,88.90803826957348,0
43,6,200000,16666.666666666668,4158,68885,10000,4,12066,1494,36900.16985495172,24,1,single,college,employed,rent,debt_consolidation,no,0.08963999999462159,0.09225042463737929,0.0,0.00826932806399852,86.89665883857278,1
22,5,200000,16666.666666666668,2423,107823,49833,3,12128,500,10000.0,3,0,single,college,self_employed,mortgage,car,no,0.029999999998199998,0.19999999999999998,1.0,0.005999999999639999,78.69234095261383,0
37,6,200000,16666.666666666668,2157,50000,34607,2,11594,500,10000.0,36,0,single,phd,employed,rent,debt_consolidation,yes,0.029999999998199998,0.016666666666666666,0.0,0.0004999999999699999,79.63586424221604,0
18,6,200000,16666.666666666668,4747,93723,168248,3,5279,500,10000.0,24,2,married,master,self_employed,mortgage,car,no,0.029999999998199998,0.024999999999999998,0.0,0.0007499999999549999,89.51608453875906,0
21,5,200000,16666.666666666668,4646,54225,56886,1,14329,500,14566.107815466168,12,1,single,college,self_employed,mortgage,debt_consolidation,no,0.029999999998199998,0.07283053907733084,0.0,0.00218491617218883,88.46606159254729,1
36,10,200000,16666.666666666668,2089,50000,13506,0,4563,500,52033.22803068402,36,1,single,bachelor,employed,mortgage,business,yes,0.029999999998199998,0.08672204671780669,0.0,0.002601661401378101,78.00219529213842,0
42,4,200000,16666.666666666668,1000,90484,44374,2,13274,500,10941.375644783648,12,0,married,college,retired,other,car,yes,0.029999999998199998,0.05470687822391823,0.0,0.0016412063466190745,78.94990104535783,0
36,8,200000,16666.666666666668,4771,50000,21857,4,10915,500,10000.0,36,0,married,phd,employed,mortgage,debt_consolidation,no,0.029999999998199998,0.016666666666666666,0.0,0.0004999999999699999,89.63586424221606,0
33,6,200000,16666.666666666668,6006,106310,24678,4,12242,724,14097.933935353814,3,0,divorced,bachelor,employed,rent,other,no,0.0434399999973936,0.2819586787070763,1.0,0.012248285002300498,62.219329120425506,1
31,4,200000,16666.666666666668,4839,50000,12321,4,3502,500,21368.459964520684,24,0,married,bachelor,employed,mortgage,car,yes,0.029999999998199998,0.0534211499113017,0.0,0.0016026344972428928,78.97972640125847,1
20,5,200000,16666.666666666668,12129,419775,38048,0,17115,1002,10000.0,36,0,single,high_school,employed,own,business,no,0.060119999996392795,0.016666666666666666,0.0,0.00100199999993988,89.18406424224315,0
27,4,200000,16666.666666666668,5710,225630,15658,2,8954,500,10000.0,36,0,married,college,employed,rent,business,no,0.029999999998199998,0.016666666666666666,0.0,0.0004999999999699999,89.63586424221606,1
30,6,200000,16666.666666666668,3676,50000,14913,0,7966,500,26087.39158684206,36,0,married,high_school,employed,own,business,no,0.029999999998199998,0.043478985978070095,0.0,0.0013043695792638406,89.19273722885472,0
45,2,200000,16666.666666666668,1435,50000,19814,2,4579,500,10000.0,3,0,single,bachelor,unemployed,rent,home,no,0.029999999998199998,0.19999999999999998,1.0,0.005999999999639999,78.69234095261383,0
38,2,200000,16666.666666666668,2819,50000,37159,2,5671,707,10000.0,6,0,single,master,employed,rent,car,yes,0.0424199999974548,0.09999999999999999,0.0,0.00424199999974548,77.28101824349633,0
18,9,200000,16666.666666666668,2528,50000,10000,2,7144,729,16833.078611034707,36,0,single,bachelor,employed,own,education,no,0.04373999999737559,0.028055131018391178,0.0,0.001227131430670802,89.26230764856224,0
38,1,200000,16666.666666666668,3592,112818,29331,3,7169,500,10502.250652200299,24,3,married,master,employed,rent,car,no,0.029999999998199998,0.026255626630500746,0.0,0.0007876687988677622,89.49674535443408,0
31,3,200000,16666.666666666668,1096,87391,10000,3,21995,500,10677.733955157872,24,2,single,high_school,self_employed,rent,debt_consolidation,yes,0.029999999998199998,0.026694334887894678,0.0,0.0008008300465887904,79.48990483898494,0
28,4,200000,16666.666666666668,4659,50000,14519,1,7780,500,20645.487824488642,36,1,divorced,master,self_employed,rent,home,no,0.029999999998199998,0.034409146374147735,0.0,0.0010322743911624955,89.36222479833933,0
41,3,200000,16666.666666666668,1849,50000,13991,3,6753,500,20810.782973344765,24,1,married,bachelor,unemployed,rent,car,no,0.029999999998199998,0.05202695743336191,0.0,0.0015608087229072086,89.01145513431689,0
45,2,200000,16666.666666666668,3888,102907,42010,2,7044,500,10000.0,36,2,single,master,self_employed,own,debt_consolidation,no,0.029999999998199998,0.016666666666666666,0.0,0.0004999999999699999,89.63586424221606,0
44,6,200000,16666.666666666668,2017,50000,29914,1,10200,500,10000.0,12,2,divorced,master,retired,rent,other,no,0.029999999998199998,0.049999999999999996,0.0,0.0014999999999099998,89.05647095587534,0
26,2,200000,16666.666666666668,2685,78098,46704,3,9302,520,17622.204736387273,36,0,divorced,high_school,employed,mortgage,education,no,0.031199999998127996,0.02937034122731212,0.0,0.0009163546462371568,89.42922356767522,0
31,7,200000,16666.666666666668,1442,50000,46615,1,4329,500,16649.387868171885,36,0,single,high_school,employed,mortgage,home,no,0.029999999998199998,0.02774897978028647,0.0,0.0008324693933586459,89.4732811351025,0
38,10,200000,16666.666666666668,1511,100849,123593,1,24546,500,10000.0,36,1,married,bachelor,employed,mortgage,business,no,0.029999999998199998,0.016666666666666666,0.0,0.0004999999999699999,89.63586424221606,0
44,1,200000,16666.666666666668,4439,50000,10000,3,7026,503,10000.0,6,0,married,master,employed,own,car,yes,0.030179999998189197,0.09999999999999999,0.0,0.0030179999998189194,77.46461824348533,0
30,2,200000,16666.666666666668,6256,59885,13445,2,3676,965,30585.526907064326,6,3,married,high_school,employed,own,business,no,0.057899999996525994,0.30585526907064325,1.0,0.0177090200781277,56.20519491549639,0
33,4,200000,16666.666666666668,2856,50000,10000,2,5494,500,10000.0,36,2,married,master,employed,own,debt_consolidation,no,0.029999999998199998,0.016666666666666666,0.0,0.0004999999999699999,89.63586424221606,0
23,4,200000,16666.666666666668,8096,158071,32515,0,7899,500,10000.0,24,1,widowed,bachelor,employed,rent,home,no,0.029999999998199998,0.024999999999999998,0.0,0.0007499999999549999,89.51608453875906,0
23,8,200000,16666.666666666668,6707,114818,28706,2,22036,532,31840.043232400807,6,3,married,high_school,employed,mortgage,home,no,0.0319199999980848,0.31840043232400805,1.0,0.010163341799172537,53.56435216267761,0
43,6,200000,16666.666666666668,3606,73189,12463,1,6987,742,10000.0,36,1,married,phd,self_employed,mortgage,car,no,0.044519999997328794,0.016666666666666666,0.0,0.0007419999999554799,89.41806424222912,1
48,2,200000,16666.666666666668,1350,113412,29555,3,4869,551,10000.0,12,2,married,phd,self_employed,own,education,no,0.0330599999980164,0.049999999999999996,0.0,0.0016529999999008197,89.0105709558781,0
34,6,200000,16666.666666666668,3635,81778,57208,5,6600,674,20463.333306431563,24,0,married,bachelor,self_employed,mortgage,car,no,0.0404399999975736,0.05115833326607891,0.0,0.0020688429971561003,88.87430590769371,0
45,8,200000,16666.666666666668,3945,50000,10000,2,7496,500,45137.21047738903,24,2,single,high_school,self_employed,rent,home,yes,0.029999999998199998,0.11284302619347257,1.0,0.0033852907856010595,76.84967751117631,0
38,8,200000,16666.666666666668,4569,50000,21395,2,7411,500,42385.105751491654,3,1,single,high_school,unemployed,mortgage,business,yes,0.029999999998199998,0.8477021150298331,2.0,0.025431063449369126,15.56757259244517,1
28,2,200000,16666.666666666668,2239,63095,25565,1,2823,1217,13151.43597694597,36,1,married,master,employed,other,car,no,0.0730199999956188,0.021919059961576615,0.0,0.0016005297582982925,88.9167690342545,0
38,5,200000,16666.666666666668,1687,71329,10000,1,4443,508,30728.563981168325,24,3,married,bachelor,retired,rent,debt_consolidation,no,0.030479999998171196,0.0768214099529208,0.0,0.0023415165752245348,88.33466839529251,0
50,4,200000,16666.666666666668,1000,50000,10135,3,13205,500,10000.0,6,0,single,bachelor,employed,mortgage,other,no,0.029999999998199998,0.09999999999999999,0.0,0.0029999999998199995,87.46731824348517,0
34,3,200000,16666.666666666668,3270,50000,18043,1,10276,500,10000.0,36,0,married,bachelor,self_employed,other,car,no,0.029999999998199998,0.016666666666666666,0.0,0.0004999999999699999,89.63586424221606,1
50,8,200000,16666.666666666668,2763,71747,27291,2,9969,1000,14900.292744591721,12,1,single,high_school,employed,own,debt_consolidation,no,0.059999999996399996,0.0745014637229586,0.0,0.00447008782310931,87.9649073282236,0
18,3,200000,16666.666666666668,7862,83046,48268,5,5651,500,15836.92202915203,24,2,married,college,employed,rent,home,no,0.029999999998199998,0.03959230507288007,0.0,0.001187769152115136,89.26808757150258,0
43,7,200000,16666.666666666668,1355,178309,30513,2,3292,584,17242.777884424333,12,3,married,high_school,self_employed,mortgage,other,no,0.0350399999978976,0.08621388942212166,0.0,0.003020934685169887,87.94518896010379,0
35,2,200000,16666.666666666668,2897,51513,38606,2,8583,500,11856.22211693222,24,2,married,bachelor,employed,own,home,no,0.029999999998199998,0.02964055529233055,0.0,0.0008892166587165635,89.44282100209398,0
32,1,200000,16666.666666666668,1246,50000,48356,1,10393,500,16378.120492733728,12,0,divorced,bachelor,employed,other,car,no,0.029999999998199998,0.08189060246366862,0.0,0.0024567180737626554,88.1737957385258,0
35,5,200000,16666.666666666668,11004,63602,77676,0,24277,500,10000.0,36,0,single,high_school,employed,own,home,no,0.029999999998199998,0.016666666666666666,0.0,0.0004999999999699999,89.63586424221606,0
18,4,200000,16666.666666666668,2234,66372,23851,2,4919,500,10000.0,12,2,single,phd,employed,rent,debt_consolidation,no,0.029999999998199998,0.049999999999999996,0.0,0.0014999999999099998,89.05647095587534,0
32,4,200000,16666.666666666668,1000,50000,10000,1,11951,1148,14853.61837563086,6,0,single,phd,retired,mortgage,debt_consolidation,no,0.06887999999586719,0.1485361837563086,1.0,0.010231172336520664,83.89110486529854,0
38,4,200000,16666.666666666668,3104,50000,74331,2,11367,500,13607.63306698935,3,2,married,college,self_employed,rent,home,no,0.029999999998199998,0.272152661339787,1.0,0.008164579839703734,64.74078555980063,0
49,3,200000,16666.666666666668,3444,122209,124534,0,2677,528,10251.461727361902,3,1,married,high_school,employed,mortgage,car,no,0.031679999998099194,0.20502923454723804,1.0,0.00649532615006678,77.91821360573427,0
29,0,200000,16666.666666666668,1789,50000,20551,1,9774,500,20902.59694231079,6,0,widowed,master,unemployed,own,business,no,0.029999999998199998,0.20902596942310786,1.0,0.006270779082316989,77.32301976279172,0
26,2,200000,16666.666666666668,2930,52823,101805,3,4814,500,38594.73524818823,36,0,single,phd,employed,other,business,no,0.029999999998199998,0.06432455874698038,0.0,0.0019297367622936271,88.70861565120747,1
29,3,200000,16666.666666666668,1321,50000,37600,5,11395,500,23552.168106014233,12,0,married,master,employed,mortgage,other,no,0.029999999998199998,0.11776084053007115,1.0,0.0035328252156901644,86.58368097493022,0
44,4,200000,16666.666666666668,1909,64641,37006,4,12619,500,17356.86279421967,12,0,single,high_school,self_employed,rent,car,no,0.029999999998199998,0.08678431397109834,0.0,0.002603529418976738,87.99990791180687,0
38,2,200000,16666.666666666668,1907,50000,25057,1,5438,500,10000.0,6,0,married,bachelor,employed,rent,business,no,0.029999999998199998,0.09999999999999999,0.0,0.0029999999998199995,87.46731824348517,0
29,6,200000,16666.666666666668,25641,50000,10000,2,10353,500,11376.553274678889,3,1,married,college,employed,mortgage,other,yes,0.029999999998199998,0.22753106549357777,1.0,0.006825931964397776,64.1584817681753,1
40,5,200000,16666.666666666668,7283,50000,24631,5,24893,500,25794.26665873353,3,0,divorced,college,employed,mortgage,debt_consolidation,no,0.029999999998199998,0.5158853331746706,2.0,0.015476559994311521,28.00377082248035,1
35,1,200000,16666.666666666668,2981,87656,83053,2,9888,965,11101.824477766906,36,0,married,college,unemployed,own,education,no,0.057899999996525994,0.018503040796278174,0.0,0.0010713260620402265,89.19220273528931,0
44,8,200000,16666.666666666668,2607,50000,39237,3,6695,790,12997.055265558105,12,2,married,master,employed,own,business,no,0.047399999997155995,0.06498527632779053,0.0,0.0030803020977524524,88.42979998099356,0
27,6,200000,16666.666666666668,7907,50000,21021,3,9185,500,17624.41148534416,6,3,married,college,employed,own,home,no,0.029999999998199998,0.1762441148534416,1.0,0.005287323445286009,81.76652226219055,0
31,1,200000,16666.666666666668,7537,50000,10000,1,5767,500,31234.46648578707,12,0,married,college,retired,rent,other,no,0.029999999998199998,0.15617233242893533,1.0,0.00468516997258695,83.81337736356113,0
31,9,200000,16666.666666666668,2261,103863,47257,0,4882,520,10000.0,6,0,married,college,self_employed,other,education,no,0.031199999998127996,0.09999999999999999,0.0,0.0031199999998127994,87.44931824348625,0
20,3,200000,16666.666666666668,19301,82382,23275,3,14781,500,26000.646796019577,3,1,married,bachelor,employed,mortgage,business,no,0.029999999998199998,0.5200129359203914,2.0,0.01560038807667572,27.86169465806207,1
37,9,200000,16666.666666666668,2261,65909,27198,4,7308,500,19551.896839869976,36,2,divorced,phd,retired,own,car,yes,0.029999999998199998,0.032586494733116624,0.0,0.0009775948419348428,79.39368855442252,0
37,4,200000,16666.666666666668,2394,129431,16899,2,11784,500,10000.0,36,2,married,bachelor,employed,rent,car,no,0.029999999998199998,0.016666666666666666,0.0,0.0004999999999699999,89.63586424221606,0
35,3,200000,16666.666666666668,4677,120960,39379,2,6058,500,10000.0,3,0,single,high_school,employed,own,business,yes,0.029999999998199998,0.19999999999999998,1.0,0.005999999999639999,68.69234095261383,0
32,7,200000,16666.666666666668,3327,66062,52563,4,13951,678,10000.0,3,3,married,high_school,self_employed,mortgage,car,no,0.040679999997559196,0.19999999999999998,1.0,0.00813599999951184,78.53214095262345,0
20,5,200000,16666.666666666668,1967,81479,28165,3,11403,598,15184.21147164699,12,0,married,bachelor,employed,mortgage,business,no,0.035879999997847196,0.07592105735823494,0.0,0.0027240475378500265,88.28229616422891,0
30,6,200000,16666.666666666668,2368,101880,70184,1,22907,766,18910.1612525533,24,0,single,high_school,employed,rent,debt_consolidation,no,0.045959999997242394,0.047275403131383245,0.0,0.002172777527788007,88.87555901950374,0
31,3,200000,16666.666666666668,1816,93644,49397,2,9205,500,49934.120829732274,36,4,divorced,master,retired,mortgage,car,no,0.029999999998199998,0.08322353471622046,0.0,0.002496706041336811,88.12759621480983,0
26,7,200000,16666.666666666668,3161,108719,29528,1,7995,500,19208.62051053402,36,1,single,college,employed,mortgage,business,no,0.029999999998199998,0.0320143675175567,0.0,0.0009604310254690751,89.40339515420261,0
33,5,200000,16666.666666666668,2605,50000,17241,2,6564,500,10093.615421308716,24,3,married,high_school,employed,mortgage,debt_consolidation,no,0.029999999998199998,0.025234038553271786,0.0,0.0007570211565527322,89.51250655514775,0
39,8,200000,16666.666666666668,4271,50000,16206,1,9596,518,10000.0,24,2,single,college,unemployed,mortgage,debt_consolidation,no,0.031079999998135197,0.024999999999999998,0.0,0.0007769999999533799,89.49988453876003,0
53,7,200000,16666.666666666668,3669,89919,10000,1,7968,500,20940.158998037507,24,1,divorced,college,self_employed,mortgage,car,no,0.029999999998199998,0.052350397495093764,0.0,0.0015705119247585821,89.00415054420212,0
36,3,200000,16666.666666666668,1479,74440,10000,3,10506,500,10000.0,3,0,married,bachelor,employed,mortgage,other,no,0.029999999998199998,0.19999999999999998,1.0,0.005999999999639999,78.69234095261383,1
37,5,200000,16666.666666666668,2023,171443,19859,2,4832,500,19594.14935789503,3,2,married,high_school,self_employed,own,car,no,0.029999999998199998,0.39188298715790054,1.0,0.011756489614031626,38.633917555582066,0
34,9,200000,16666.666666666668,7187,204175,28460,2,9753,500,10000.0,24,2,married,bachelor,self_employed,mortgage,business,no,0.029999999998199998,0.024999999999999998,0.0,0.0007499999999549999,89.51608453875906,1
18,5,200000,16666.666666666668,2735,117129,23395,0,8029,500,21563.790229892635,6,1,married,bachelor,employed,mortgage,home,no,0.029999999998199998,0.21563790229892632,1.0,0.006469137068579641,76.24737966591827,0
34,6,200000,16666.666666666668,1330,50000,46658,3,9768,731,45936.12695245748,36,1,widowed,master,retired,mortgage,other,no,0.04385999999736839,0.07656021158742914,0.0,0.0033579308800231653,88.14231065896723,0
35,4,200000,16666.666666666668,2404,112732,27627,3,2660,500,21721.508673815708,24,1,married,master,retired,own,car,no,0.029999999998199998,0.054303771684539266,0.0,0.001629113150438431,88.95931095126559,0
59,6,200000,16666.666666666668,2966,56056,12974,2,6505,500,11151.834919294983,12,0,married,high_school,employed,mortgage,car,no,0.029999999998199998,0.05575917459647491,0.0,0.0016727752377938808,88.92508038123385,0
33,6,200000,16666.666666666668,16838,50000,12759,3,18384,500,12629.303655680867,36,2,married,bachelor,employed,mortgage,car,yes,0.029999999998199998,0.021048839426134777,0.0,0.0006314651827461553,79.5746887594014,0
38,5,200000,16666.666666666668,2208,50000,32898,3,5708,500,37739.61796422204,6,2,single,phd,employed,other,car,no,0.029999999998199998,0.37739617964222033,1.0,0.011321885388587296,41.052242263986074,0
34,6,200000,16666.666666666668,2289,50000,10000,2,6914,500,19012.37798001725,24,2,divorced,master,employed,rent,debt_consolidation,no,0.029999999998199998,0.04753094495004312,0.0,0.0014259283484157378,89.10956990071088,0
23,4,200000,16666.666666666668,3547,130198,17966,0,6055,916,21589.10214693956,6,0,divorced,high_school,self_employed,other,debt_consolidation,no,0.0549599999967024,0.2158910214693956,1.0,0.01186537053924606,75.83057970858171,0
46,4,200000,16666.666666666668,5059,92937,33997,1,3871,572,10000.0,36,2,widowed,high_school,employed,own,car,no,0.034319999997940796,0.016666666666666666,0.0,0.0005719999999656799,89.57106424221995,0
42,7,200000,16666.666666666668,14628,50000,10430,1,5083,889,10000.0,36,1,married,master,employed,rent,education,no,0.05333999999679959,0.016666666666666666,0.0,0.0008889999999466599,89.28576424223705,0
42,7,200000,16666.666666666668,2455,65891,14605,0,5853,500,19000.867472321897,24,2,married,college,employed,mortgage,debt_consolidation,no,0.029999999998199998,0.04750216868080474,0.0,0.0014250650603386383,89.110177750058,1
25,5,200000,16666.666666666668,2544,50000,21934,2,11669,1091,10000.0,6,0,single,college,employed,rent,home,no,0.0654599999960724,0.09999999999999999,0.0,0.006545999999607239,86.93541824351708,0
49,3,200000,16666.666666666668,1156,121397,25507,0,7057,567,10000.0,36,0,single,college,employed,other,home,no,0.034019999997958794,0.016666666666666666,0.0,0.0005669999999659799,89.57556424221966,0
20,3,200000,16666.666666666668,1082,50000,30778,0,13589,675,10000.0,3,0,married,bachelor,unemployed,mortgage,other,no,0.040499999997569994,0.19999999999999998,1.0,0.008099999999513998,78.53484095262328,0
40,3,200000,16666.666666666668,3055,50000,22933,3,8974,500,48325.446959228044,24,0,married,college,employed,own,debt_consolidation,no,0.029999999998199998,0.1208136173980701,1.0,0.0036244085217246383,86.40967198353226,0
56,2,200000,16666.666666666668,1472,79067,20294,0,5160,500,10000.0,24,1,divorced,college,self_employed,own,education,no,0.029999999998199998,0.024999999999999998,0.0,0.0007499999999549999,89.51608453875906,0
25,6,200000,16666.666666666668,1000,102402,17040,1,1891,500,10000.0,3,1,single,master,unemployed,rent,debt_consolidation,yes,0.029999999998199998,0.19999999999999998,1.0,0.005999999999639999,68.69234095261383,0
29,3,200000,16666.666666666668,1650,114865,55166,1,23529,506,22694.037722268007,6,1,single,bachelor,unemployed,rent,other,no,0.030359999998178396,0.22694037722268007,1.0,0.006889909852067172,74.26145251799431,0
35,3,200000,16666.666666666668,1116,50469,11422,5,11339,595,10000.0,36,4,divorced,bachelor,unemployed,rent,debt_consolidation,no,0.035699999997857994,0.016666666666666666,0.0,0.0005949999999642999,89.55036424222118,0
29,11,200000,16666.666666666668,2833,59165,48789,2,5377,500,10000.0,12,0,married,college,self_employed,own,car,no,0.029999999998199998,0.049999999999999996,0.0,0.0014999999999099998,89.05647095587534,0
19,4,200000,16666.666666666668,1084,92897,22172,1,17951,500,67508.2820348295,3,0,single,bachelor,employed,own,debt_consolidation,no,0.029999999998199998,1.35016564069659,3.0,0.0405049692184674,25.55000936908984,1
35,10,200000,16666.666666666668,2193,137397,19153,2,8488,729,25423.753280067842,3,1,married,phd,employed,rent,business,no,0.04373999999737559,0.5084750656013568,2.0,0.0222406993680689,28.074036460409552,1
24,8,200000,16666.666666666668,4353,51205,25927,1,7508,510,20879.039369325652,3,0,married,master,unemployed,rent,business,no,0.030599999998164,0.41758078738651305,1.0,0.01277797209326062,35.05219461054034,0
39,3,200000,16666.666666666668,2503,50000,11168,1,27747,500,10000.0,3,0,married,master,self_employed,mortgage,business,no,0.029999999998199998,0.19999999999999998,1.0,0.005999999999639999,78.69234095261383,0
